AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0125,"6MA Cam Holder #2,3,4 die D",W,b,654-090,6MAA HOLDCOMP NO3 INTAKE (DC)
DM0125,"6MA Cam Holder #2,3,4 die D",W,c,655-090,6MAA HOLDCOMP NO4 INTAKE (DC)
DM0125,"6MA Cam Holder #2,3,4 die D",W,d,658-090,6MAA HOLDCOMP NO2 EXHAUST (DC)
DM0125,"6MA Cam Holder #2,3,4 die D",W,e,659-090,6MAA HOLDCOMP NO3 EXHAUST (DC)
DM0125,"6MA Cam Holder #2,3,4 die D",W,f,660-090,6MAA HOLDCOMP NO4 EXHAUST (DC)
DM0126,6MA Oil Pan die E,W,a,664-090,6MA Oil Pan (69F Finished)
DM0127,6VJ Fuel Pump B,W,a,638-090,6VJ Fuel Pump
DM0128,6VJ Fuel Pump C,W,a,638-090,6VJ Fuel Pump
DM0129,"59B cam Hilder 1,5, N",W,a,187-090,59B In Cam No 1 MPP
DM0129,"59B cam Hilder 1,5, N",W,b,191-090,59B In Cam No 5 MPP
DM0129,"59B cam Hilder 1,5, N",W,c,192-090,59B In Cam Ex 1 MPP
DM0129,"59B cam Hilder 1,5, N",W,d,196-090,59B In Cam Ex 5 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,a,188-090,59B In Cam No 2 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,b,189-090,59B In Cam No 3 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,c,190-090,59B In Cam No 4 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,d,193-090,59B In Cam Ex 2 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,e,194-090,59B In Cam Ex 3 MPP
DM0130,"59B Cam Holder #2,3,4 die N",W,f,195-090,59B In Cam Ex 4 MPP
DM0131,5J6-1 Oil Pan die N,W,a,155-090,5J6-1 OIL PAN     DC
DM0132,64A Oil Pan die G,W,a,648-090,64A Oil Pan
DM0136,6MA Oil Pan G,W,a,664-090,6MA Oil Pan (69F Finished)
DM0137,Astemo Inverter Cover Dual die A,W,a,682-090,Cover Inverter Dual
DM0138,Astemo Intermediate Case Dual die A,W,a,680-090,Case comp Intermediate Dual
DM0140,66VT Fuel Pump Die A,W,a,686-090,66V Fuel Pump
DM0141,RPY Rocker Shaft #1 die K,W,a,135-090,RPY Holder Comp No 1 Rkr Shaft
DM0142,"RPY Rocker Shaft #2,3,4 die K",W,a,136-090,RPY Holder Comp No 2 Rkr Shaft
DM0142,"RPY Rocker Shaft #2,3,4 die K",W,b,137-090,RPY Holder Comp No 3 Rkr Shaft
DM0142,"RPY Rocker Shaft #2,3,4 die K",W,c,138-090,RPY Holder Comp No 4 Rkr Shaft
DM0143,5BA Rocker Shaft #5 die O,W,a,140-090,5BAA Holder Comp #5 R/S
DM0144,6FB oil pan D,W,a,646-090,6FB Oil Pan
DM0145,64A oil pan H,W,a,648-090,64A Oil Pan
DM0146,6FB Cam Holder #1 die C,W,a,644-090,"6FB Holder Comp, No 1 Cam R"
DM0147,"6MA Cam Holder #1,5 die F",W,a,652-090,6MAA HOLDCOMP NO1 INTAKE (DC)
DM0147,"6MA Cam Holder #1,5 die F",W,b,656-090,6MAA HOLDCOMP NO5 INTAKE (DC)
DM0147,"6MA Cam Holder #1,5 die F",W,c,657-090,6MAA HOLDCOMP NO1 EXHAUST (DC)
DM0147,"6MA Cam Holder #1,5 die F",W,d,661-090,6MAA HOLDCOMP NO5 EXHAUST (DC)
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,a,653-090,6MAA HOLDCOMP NO2 INTAKE (DC)
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,b,654-090,6MAA HOLDCOMP NO3 INTAKE (DC)
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,c,655-090,6MAA HOLDCOMP NO4 INTAKE (DC)
