Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
358,11200-6FB -A000,6FB Oil Pan,6FB Finished Goods,1,0,NULL,NULL,NULL
344,12235-6FB -A000,6FB OIL PASS,6FB Finished Goods,1,0,NULL,NULL,NULL,US
349,12431-6FB -A000,6FB CAM ROCKER 1,6FB Finished Goods,1,0,NULL,NULL,NULL,US
318,12231-6MA -J000,Intake #1,6MA Finished Goods,1,0,NULL,NULL,NULL
319,12232-6MA -J000,Intake #2,6MA Finished Goods,1,0,NULL,NULL,NULL
320,12233-6MA -J000,Intake #3,6MA Finished Goods,1,0,NULL,NULL,NULL
321,12234-6MA -J000,Intake #4,6MA Finished Goods,1,0,NULL,NULL,NULL
322,12235-6MA -J000,Intake #5,6MA Finished Goods,1,0,NULL,NULL,NULL
355,1223A-6MA -J000,"6MA Cam Rocker, Holder Set DWG",6MA Finished Goods,1,0,NULL,NULL,42
323,12241-6MA -J000,Exhaust #1,6MA Finished Goods,1,0,NULL,NULL,NULL
324,12242-6MA -J000,Exhaust #2,6MA Finished Goods,1,0,NULL,NULL,NULL
325,12243-6MA -J000,Exhaust #3,6MA Finished Goods,1,0,NULL,NULL,NULL
326,12244-6MA -J000,Exhaust #4,6MA Finished Goods,1,0,NULL,NULL,NULL
327,12245-6MA -J000,Exhaust #5,6MA Finished Goods,1,0,NULL,NULL,NULL
227,11200-5MH -A000,"PAN COMP,OIL",Offsite Finished Goods,1,1,1.000,Pound,21,US
238,11200-P8A-A00,"PAN, OIL ",Offsite Finished Goods,1,1,1.000,Pound,24,US
236,11200-PGE-A00,"PAN, OIL ",Offsite Finished Goods,1,1,1.000,Pound,25,US
239,11200-RDJ-A00,"PAN, OIL",Offsite Finished Goods,1,1,1.000,Pound,26,US
219,1120A-5LA -A000,OIL PAN SUB ASSY,Offsite Finished Goods,1,1,1.000,Pound,28,US
228,1120R-5J6 -A010,"PAN COMP, OIL",Offsite Finished Goods,1,1,1.000,Pound,32,US
298,11300-6S9 -A010,"CASE ASSY., OIL SEAL",Offsite Finished Goods,1,0,1.000,Pound,18,JP
281,11300-P8A-A00,"CASE ASSY., OIL SEAL",Offsite Finished Goods,1,0,1.000,Pound,33,US
279,11300-R70 -A000,"CASE ASSY, OIL SEAL",Offsite Finished Goods,1,0,1.000,Pound,18,JP
282,11300-RCA-A00,"CASE ASSY., OIL SEAL",Offsite Finished Goods,1,0,1.000,Pound,35,US
295,12200-RNA -A000,"PAN, OIL",Offsite Finished Goods,1,0,NULL,NULL,NULL,NULL
258,12230-P8A -A000,"COVER ASSY, CAM THRUST F",Offsite Finished Goods,1,1,1.000,Pound,12,CN
261,12231-R1A -A000,"HOLDER COMP, NO1 RKR SHAFT",Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
262,12232-R1A -A000,"HOLDER COMP, RKR SHAFT ",Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
263,12235-R1A -A000,"HOLDER COMP, NO5 RKR SHAFT ",Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
106,12236-R1A -A000,"HOLDER COMP, LOSTMOTION",Offsite Finished Goods,1,1,1.000,Pound,NULL,US
399,1223A-59B -A000,59B CH,Offsite Finished Goods,1,0,1.000,Pound,NULL,us
